model,web_acc,params,size_mb,flops_m,infer_ms,throughput,peak_mem_mb
sea_gated-me…ea_topk_conj,0.954,61740,1.502,54.064,2.109,474.2,37.548
sea_mstcn__mil_conj,0.954,269083,3.539,259.08,1.139,877.9,66.421
sea_gated-ma…ea_topk_conj,0.952,61740,1.502,54.064,2.5722,388.8,37.548
sea_spiketre…ea_topk_conj,0.95,67020,1.525,59.232,1.0875,919.5,37.571
sea_channels…ea_topk_conj,0.948,69768,1.536,,,,
sea_channels…ea_topk_conj,0.948,67592,1.527,,,,
sea_bottlene…ea_topk_conj,0.9473,41324,1.428,37.672,0.6306,1585.9,41.379
sea_recon__sea_adapt_cls,0.946,62935,1.51,59.288,0.3831,2610.1,37.557
sea_inputgat…ea_topk_conj,0.946,58092,1.489,54.504,2.0415,489.8,37.534
sea_mstcn-cl…sea_cls_conj,0.946,269164,3.539,259.112,0.7593,1317.1,66.421
sea_gated-ma…sea_cls_conj,0.944,61740,1.502,54.064,1.516,659.6,37.548
sea_mstcn__mil_add,0.942,269083,3.539,259.08,0.7124,1403.8,66.421
sea_gated-la…ea_topk_conj,0.942,61740,1.502,54.064,1.1669,857.0,37.548
sea_gated-la…sea_cls_conj,0.942,61740,1.502,54.064,1.0016,998.4,37.548
sea_bottlene…_sea_sm_conj,0.94,41325,1.428,37.672,0.9065,1103.1,41.38
