epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
1,2.320282,0.1325,2.312559,0.1,val_loss,112
2,2.206827,0.1925,2.176606,0.18,val_loss,112
3,2.066131,0.2575,6.087852,0.1,val_loss,112
4,1.930575,0.355,3.80994,0.18,val_loss,112
5,1.817803,0.4075,4.302039,0.19,val_loss,112
6,1.765928,0.405,1.845632,0.4,val_loss,112
7,1.705956,0.485,1.791276,0.49,val_loss,112
8,1.633615,0.4525,2.704106,0.31,val_loss,112
9,1.572393,0.5325,1.643695,0.51,val_loss,112
10,1.516832,0.58,1.865019,0.43,val_loss,112
11,1.537251,0.55,1.786505,0.48,val_loss,112
12,1.495616,0.5875,1.648687,0.52,val_loss,112
13,1.481789,0.5725,1.661375,0.5,val_loss,112
14,1.442085,0.5925,1.598979,0.52,val_loss,112
15,1.380174,0.665,1.595377,0.57,val_loss,112
16,1.407227,0.63,1.934766,0.47,val_loss,112
17,1.400978,0.6475,1.600545,0.53,val_loss,112
18,1.298928,0.705,1.551012,0.55,val_loss,112
19,1.279346,0.71,1.51121,0.59,val_loss,112
20,1.252158,0.74,1.737949,0.51,val_loss,112
21,1.237612,0.7525,1.426701,0.58,val_loss,112
22,1.169122,0.75,1.358085,0.69,val_loss,112
23,1.146778,0.795,1.435294,0.63,val_loss,112
24,1.093256,0.8225,1.406464,0.66,val_loss,112
25,1.130983,0.7925,1.49279,0.64,val_loss,112
26,1.144727,0.7775,1.367404,0.68,val_loss,112
27,1.058338,0.8125,1.408931,0.64,val_loss,112
28,1.040787,0.8475,1.353691,0.7,val_loss,112
29,1.015106,0.865,1.308988,0.69,val_loss,112
30,0.99706,0.855,1.325153,0.69,val_loss,112
31,0.982299,0.8475,1.25533,0.74,val_loss,112
32,0.953693,0.8775,1.249379,0.7,val_loss,112
33,0.93674,0.8775,1.273053,0.74,val_loss,112
34,0.934748,0.885,1.213467,0.74,val_loss,112
35,0.89178,0.9075,1.315986,0.77,val_loss,112
36,0.887406,0.92,1.294787,0.74,val_loss,112
37,0.868578,0.9325,1.214923,0.79,val_loss,112
38,0.848748,0.9275,1.274613,0.79,val_loss,112
39,0.847729,0.9425,1.248909,0.75,val_loss,112
40,0.807628,0.9525,1.097941,0.85,val_loss,112
41,0.826768,0.9375,1.254554,0.76,val_loss,112
42,0.83899,0.9375,1.194347,0.81,val_loss,112
43,0.806256,0.96,1.125652,0.8,val_loss,112
44,0.785644,0.97,1.098561,0.79,val_loss,112
45,0.779397,0.97,1.049676,0.85,val_loss,112
46,0.750052,0.975,1.070369,0.84,val_loss,112
47,0.750667,0.9825,1.050918,0.84,val_loss,112
48,0.735877,0.99,1.135257,0.84,val_loss,112
49,0.722479,0.9875,1.062867,0.86,val_loss,112
50,0.725951,0.99,1.112729,0.84,val_loss,112
51,0.759878,0.975,1.13034,0.83,val_loss,112
52,0.784185,0.955,1.162134,0.8,val_loss,112
53,0.748617,0.985,1.137666,0.83,val_loss,112
54,0.741834,0.98,1.068378,0.84,val_loss,112
55,0.709217,0.99,1.069543,0.84,val_loss,112
56,0.712748,0.9825,1.053762,0.84,val_loss,112
57,0.700087,0.995,0.995508,0.85,val_loss,112
58,0.698008,0.9925,1.062618,0.84,val_loss,112
59,0.696499,0.9925,1.050158,0.84,val_loss,112
60,0.706309,0.9875,1.092129,0.83,val_loss,112
61,0.714957,0.9775,1.096035,0.82,val_loss,112
62,0.692643,0.9925,1.067039,0.86,val_loss,112
63,0.69135,0.995,1.069371,0.85,val_loss,112
64,0.691792,0.995,1.100788,0.81,val_loss,112
65,0.692425,0.995,1.039251,0.83,val_loss,112
66,0.692044,0.99,1.041912,0.86,val_loss,112
67,0.682682,1.0,1.06598,0.84,val_loss,112
68,0.680452,0.9975,1.017999,0.87,val_loss,112
69,0.688405,0.9975,1.078745,0.82,val_loss,112
70,0.687111,0.9925,0.991134,0.85,val_loss,112
71,0.677512,1.0,1.042124,0.84,val_loss,112
72,0.680046,0.995,1.021269,0.83,val_loss,112
73,0.676111,0.9975,1.037525,0.85,val_loss,112
74,0.675201,0.9975,1.049191,0.84,val_loss,112
75,0.676251,0.9975,1.062868,0.84,val_loss,112
76,0.669525,1.0,0.990048,0.85,val_loss,112
77,0.669309,1.0,1.018304,0.84,val_loss,112
78,0.668436,1.0,0.989802,0.87,val_loss,112
79,0.662954,1.0,1.020958,0.86,val_loss,112
80,0.676988,0.995,1.001263,0.86,val_loss,112
81,0.668193,0.9975,1.045248,0.85,val_loss,112
82,0.670011,0.995,0.980558,0.88,val_loss,112
83,0.661615,1.0,1.002047,0.84,val_loss,112
84,0.667733,0.9975,0.960529,0.84,val_loss,112
85,0.666744,1.0,1.003671,0.86,val_loss,112
86,0.6698,0.9975,1.023435,0.86,val_loss,112
87,0.665838,0.9975,1.058222,0.85,val_loss,112
88,0.665207,1.0,1.000376,0.86,val_loss,112
89,0.66784,0.9975,1.053445,0.86,val_loss,112
90,0.659388,1.0,1.008577,0.85,val_loss,112
91,0.663561,0.9975,0.981811,0.86,val_loss,112
92,0.664228,1.0,0.982066,0.87,val_loss,112
93,0.670549,1.0,1.014118,0.87,val_loss,112
94,0.670325,0.995,1.051962,0.84,val_loss,112
95,0.665358,1.0,1.033204,0.87,val_loss,112
96,0.66033,1.0,1.005926,0.85,val_loss,112
97,0.661075,1.0,1.044243,0.86,val_loss,112
98,0.657851,1.0,0.99605,0.85,val_loss,112
99,0.67601,0.9975,1.065588,0.83,val_loss,112
100,0.684786,0.995,0.99696,0.86,val_loss,112
101,0.681874,0.995,1.102267,0.8,val_loss,112
102,0.685018,0.9925,0.993328,0.84,val_loss,112
103,0.672708,0.9975,0.945642,0.88,val_loss,112
104,0.660584,1.0,0.992858,0.86,val_loss,112
105,0.661079,1.0,1.095741,0.82,val_loss,112
106,0.656007,1.0,1.014464,0.87,val_loss,112
107,0.651457,1.0,1.015394,0.87,val_loss,112
108,0.649906,1.0,1.019946,0.87,val_loss,112
109,0.652226,0.9975,0.942941,0.87,val_loss,112
110,0.650493,1.0,0.966141,0.85,val_loss,112
111,0.651631,1.0,0.985331,0.88,val_loss,112
112,0.660117,0.9975,0.931918,0.88,val_loss,112
113,0.657444,1.0,0.994981,0.87,val_loss,112
114,0.654081,1.0,1.063325,0.83,val_loss,112
115,0.665506,1.0,1.066576,0.82,val_loss,112
116,0.653505,1.0,0.973658,0.86,val_loss,112
117,0.652871,1.0,1.043275,0.84,val_loss,112
118,0.649878,1.0,0.98804,0.85,val_loss,112
119,0.651141,1.0,0.977785,0.85,val_loss,112
120,0.652528,1.0,0.994845,0.85,val_loss,112
121,0.665715,1.0,1.016377,0.84,val_loss,112
122,0.663242,1.0,1.022945,0.88,val_loss,112
123,0.658138,1.0,1.090511,0.83,val_loss,112
124,0.655273,1.0,1.055319,0.85,val_loss,112
125,0.661359,1.0,1.025921,0.85,val_loss,112
126,0.654619,1.0,1.033031,0.87,val_loss,112
127,0.654376,1.0,0.974994,0.87,val_loss,112
128,0.655021,1.0,0.993305,0.89,val_loss,112
129,0.658769,0.9975,0.990443,0.87,val_loss,112
130,0.656802,0.9975,1.037198,0.85,val_loss,112
131,0.655914,1.0,1.002137,0.86,val_loss,112
132,0.647722,1.0,0.967332,0.87,val_loss,112
133,0.644639,1.0,0.991605,0.88,val_loss,112
134,0.644312,1.0,0.966231,0.87,val_loss,112
135,0.644188,1.0,0.973463,0.87,val_loss,112
136,0.642378,1.0,0.964732,0.86,val_loss,112
137,0.65424,0.9975,0.957321,0.84,val_loss,112
138,0.655439,1.0,1.019362,0.87,val_loss,112
139,0.654494,1.0,1.011936,0.85,val_loss,112
140,0.65203,0.9975,1.044943,0.84,val_loss,112
141,0.64504,1.0,0.988846,0.84,val_loss,112
142,0.65035,1.0,1.008581,0.86,val_loss,112
143,0.647025,0.9975,0.982392,0.85,val_loss,112
144,0.650525,1.0,0.970812,0.85,val_loss,112
145,0.650805,1.0,0.937404,0.87,val_loss,112
146,0.645435,1.0,0.951878,0.89,val_loss,112
147,0.649201,1.0,1.028301,0.87,val_loss,112
148,0.645448,1.0,0.964179,0.9,val_loss,112
149,0.645007,1.0,0.946451,0.87,val_loss,112
150,0.648156,1.0,1.047803,0.85,val_loss,112
151,0.647944,1.0,0.996216,0.85,val_loss,112
152,0.650301,1.0,0.982949,0.87,val_loss,112
153,0.646456,1.0,0.956799,0.87,val_loss,112
154,0.647892,1.0,0.969406,0.87,val_loss,112
155,0.646855,1.0,0.959383,0.84,val_loss,112
156,0.649281,1.0,1.058997,0.84,val_loss,112
157,0.663027,0.9925,1.01959,0.85,val_loss,112
158,0.663601,0.9925,1.054802,0.81,val_loss,112
159,0.663028,0.9975,0.945287,0.88,val_loss,112
160,0.656005,0.9975,1.07939,0.83,val_loss,112
