epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
1,2.438157,0.14,2.462764,0.1,val_loss,158
2,2.281033,0.1725,2.674276,0.12,val_loss,158
3,2.232637,0.18,2.463367,0.2,val_loss,158
4,2.196382,0.2075,2.392071,0.16,val_loss,158
5,2.127872,0.235,4.968922,0.16,val_loss,158
6,2.086124,0.2825,2.302119,0.27,val_loss,158
7,2.072091,0.295,2.427823,0.28,val_loss,158
8,2.122386,0.27,2.517334,0.23,val_loss,158
9,2.03684,0.3,2.39301,0.23,val_loss,158
10,1.977685,0.3325,2.386856,0.31,val_loss,158
11,2.002376,0.3175,2.301406,0.24,val_loss,158
12,1.886214,0.3825,2.322212,0.3,val_loss,158
13,1.849495,0.455,2.146707,0.38,val_loss,158
14,1.781054,0.4275,2.226962,0.32,val_loss,158
15,1.754328,0.485,7.464488,0.12,val_loss,158
16,1.7463,0.4925,6.585769,0.12,val_loss,158
17,1.766067,0.455,2.604896,0.26,val_loss,158
18,1.708943,0.4925,2.093681,0.45,val_loss,158
19,1.692965,0.48,1.961913,0.5,val_loss,158
20,1.618503,0.535,1.849391,0.56,val_loss,158
21,1.606967,0.575,1.905622,0.53,val_loss,158
22,1.57208,0.545,1.735027,0.59,val_loss,158
23,1.574755,0.5625,1.826916,0.55,val_loss,158
24,1.518823,0.5875,1.950625,0.51,val_loss,158
25,1.471586,0.62,1.831155,0.55,val_loss,158
26,1.468194,0.6075,1.687711,0.55,val_loss,158
27,1.406519,0.6525,1.789178,0.54,val_loss,158
28,1.422591,0.63,1.79927,0.5,val_loss,158
29,1.402599,0.6725,1.970634,0.49,val_loss,158
30,1.338507,0.685,1.678918,0.57,val_loss,158
31,1.309553,0.7125,1.760599,0.57,val_loss,158
32,1.315844,0.7275,2.321164,0.5,val_loss,158
33,1.295894,0.7425,1.702122,0.6,val_loss,158
34,1.271155,0.7525,1.672517,0.59,val_loss,158
35,1.240572,0.7725,1.72286,0.59,val_loss,158
36,1.292992,0.745,2.188252,0.57,val_loss,158
37,1.243433,0.755,2.01605,0.53,val_loss,158
38,1.207403,0.765,1.789665,0.59,val_loss,158
39,1.191771,0.775,1.8429,0.59,val_loss,158
40,1.188361,0.775,1.891165,0.57,val_loss,158
41,1.181092,0.7725,1.695122,0.56,val_loss,158
42,1.144732,0.82,1.773739,0.62,val_loss,158
43,1.120911,0.7975,1.717342,0.59,val_loss,158
44,1.151105,0.8025,1.74501,0.65,val_loss,158
45,1.102601,0.8075,1.957291,0.59,val_loss,158
46,1.056973,0.8525,1.868473,0.61,val_loss,158
47,1.087707,0.8175,1.67685,0.72,val_loss,158
48,1.065059,0.8325,1.597806,0.69,val_loss,158
49,1.032507,0.855,1.569604,0.7,val_loss,158
50,1.057889,0.8325,1.691865,0.63,val_loss,158
51,1.048792,0.8375,1.89658,0.64,val_loss,158
52,1.043523,0.84,1.56719,0.69,val_loss,158
53,1.010348,0.8625,1.755858,0.69,val_loss,158
54,0.997132,0.85,1.709388,0.65,val_loss,158
55,0.974471,0.8775,1.495818,0.74,val_loss,158
56,0.961304,0.8975,1.675599,0.66,val_loss,158
57,0.947872,0.9,1.45031,0.75,val_loss,158
58,0.942906,0.9125,1.856076,0.7,val_loss,158
59,0.962305,0.8875,1.621848,0.75,val_loss,158
60,0.9999,0.8775,1.786946,0.62,val_loss,158
61,0.910886,0.93,1.605397,0.73,val_loss,158
62,0.925897,0.9075,1.562965,0.71,val_loss,158
63,0.906168,0.925,1.539815,0.74,val_loss,158
64,0.922465,0.9075,1.7977,0.68,val_loss,158
65,0.889777,0.9325,1.606048,0.73,val_loss,158
66,0.866526,0.9325,1.492613,0.73,val_loss,158
67,0.847167,0.95,1.488351,0.72,val_loss,158
68,0.835971,0.96,1.516629,0.74,val_loss,158
69,0.842778,0.9575,1.416303,0.7,val_loss,158
70,0.847105,0.9525,1.574957,0.73,val_loss,158
71,0.83058,0.9525,1.492218,0.72,val_loss,158
72,0.804546,0.9725,1.36265,0.78,val_loss,158
73,0.810547,0.95,1.489533,0.77,val_loss,158
74,0.813903,0.9575,1.500539,0.73,val_loss,158
75,0.816022,0.9575,1.356697,0.8,val_loss,158
76,0.791149,0.9825,1.435705,0.75,val_loss,158
77,0.850243,0.9375,1.390937,0.77,val_loss,158
78,0.847918,0.95,1.547666,0.65,val_loss,158
79,0.869177,0.935,1.540261,0.76,val_loss,158
80,0.83158,0.9625,1.442486,0.73,val_loss,158
81,0.813959,0.95,1.360346,0.79,val_loss,158
82,0.805797,0.9575,1.505623,0.79,val_loss,158
83,0.790572,0.975,1.368273,0.77,val_loss,158
84,0.768651,0.975,1.40977,0.74,val_loss,158
85,0.77447,0.97,1.387405,0.81,val_loss,158
86,0.773197,0.97,1.36392,0.79,val_loss,158
87,0.776222,0.98,1.301299,0.82,val_loss,158
88,0.782405,0.9725,1.460095,0.78,val_loss,158
89,0.744164,0.9875,1.382383,0.75,val_loss,158
90,0.741038,0.9925,1.423854,0.75,val_loss,158
91,0.744831,0.9875,1.627624,0.78,val_loss,158
92,0.732842,0.9975,1.31919,0.8,val_loss,158
93,0.719765,1.0,1.402054,0.8,val_loss,158
94,0.724424,0.9875,1.28766,0.79,val_loss,158
95,0.756675,0.9875,1.364396,0.81,val_loss,158
96,0.750968,0.99,1.502317,0.77,val_loss,158
97,0.738835,0.9925,1.326847,0.81,val_loss,158
98,0.744003,0.9925,1.305225,0.8,val_loss,158
99,0.751929,0.9775,1.52276,0.74,val_loss,158
100,0.748408,0.98,1.602109,0.69,val_loss,158
101,0.75213,0.9825,1.427321,0.76,val_loss,158
102,0.73102,0.99,1.366508,0.78,val_loss,158
103,0.715463,0.995,1.253913,0.81,val_loss,158
104,0.70925,0.995,1.216315,0.8,val_loss,158
105,0.718652,0.985,1.209126,0.84,val_loss,158
106,0.731872,0.99,1.304285,0.76,val_loss,158
107,0.727927,0.985,1.378753,0.77,val_loss,158
108,0.715975,0.9975,1.302494,0.8,val_loss,158
109,0.717291,0.9975,1.313787,0.79,val_loss,158
110,0.713924,0.995,1.204429,0.83,val_loss,158
111,0.71804,0.9975,1.537993,0.77,val_loss,158
112,0.716406,0.9975,1.314815,0.79,val_loss,158
113,0.715304,0.9925,1.356089,0.77,val_loss,158
114,0.717317,0.9925,1.31161,0.82,val_loss,158
115,0.710017,0.995,1.426978,0.77,val_loss,158
116,0.711172,1.0,1.348509,0.77,val_loss,158
117,0.709708,0.9975,1.335186,0.79,val_loss,158
118,0.697304,1.0,1.28634,0.79,val_loss,158
119,0.698324,0.9975,1.497008,0.75,val_loss,158
120,0.699963,0.9975,1.207197,0.83,val_loss,158
121,0.700475,1.0,1.226741,0.83,val_loss,158
122,0.725504,0.9925,1.389937,0.75,val_loss,158
123,0.724227,0.9875,1.36185,0.78,val_loss,158
124,0.708092,0.9925,1.364481,0.73,val_loss,158
125,0.72798,0.9925,1.21393,0.8,val_loss,158
126,0.711462,0.9975,1.27456,0.77,val_loss,158
127,0.724492,0.99,1.228335,0.8,val_loss,158
128,0.730153,0.98,1.446882,0.73,val_loss,158
129,0.75979,0.97,1.212666,0.82,val_loss,158
130,0.755815,0.9775,1.451701,0.78,val_loss,158
131,0.740495,0.9825,1.365447,0.74,val_loss,158
132,0.709234,0.9975,1.315841,0.76,val_loss,158
133,0.691292,1.0,1.223383,0.79,val_loss,158
134,0.682859,1.0,1.216289,0.79,val_loss,158
135,0.684914,1.0,1.262963,0.8,val_loss,158
136,0.675211,1.0,1.15387,0.81,val_loss,158
137,0.68677,0.9975,1.213396,0.82,val_loss,158
138,0.693388,0.9975,1.325806,0.79,val_loss,158
139,0.695864,1.0,1.318718,0.73,val_loss,158
140,0.686873,1.0,1.253231,0.78,val_loss,158
141,0.688408,0.9975,1.275306,0.81,val_loss,158
142,0.694692,0.9975,1.193881,0.82,val_loss,158
143,0.692623,0.9975,1.305526,0.78,val_loss,158
144,0.692224,0.9975,1.236796,0.8,val_loss,158
145,0.693864,0.9975,1.310686,0.76,val_loss,158
146,0.689648,0.9975,1.187126,0.81,val_loss,158
147,0.691459,1.0,1.250816,0.79,val_loss,158
148,0.687702,0.995,1.25993,0.78,val_loss,158
149,0.678073,0.995,1.228146,0.8,val_loss,158
150,0.676139,1.0,1.170916,0.81,val_loss,158
151,0.678764,0.9975,1.125722,0.81,val_loss,158
152,0.68129,0.9975,1.281199,0.79,val_loss,158
153,0.682759,0.9975,1.203488,0.81,val_loss,158
154,0.680416,1.0,1.188421,0.83,val_loss,158
155,0.674468,1.0,1.11986,0.82,val_loss,158
156,0.672298,1.0,1.230704,0.8,val_loss,158
157,0.675747,1.0,1.08986,0.85,val_loss,158
158,0.673196,1.0,1.067354,0.84,val_loss,158
159,0.670011,1.0,1.211203,0.79,val_loss,158
160,0.67222,1.0,1.249609,0.79,val_loss,158
161,0.680521,0.9975,1.309448,0.77,val_loss,158
162,0.700942,0.9975,1.248499,0.77,val_loss,158
163,0.675459,0.9975,1.141247,0.84,val_loss,158
164,0.672567,1.0,1.239097,0.78,val_loss,158
165,0.674638,1.0,1.197333,0.79,val_loss,158
166,0.672119,1.0,1.301705,0.76,val_loss,158
167,0.672414,1.0,1.228685,0.77,val_loss,158
168,0.68945,0.9975,1.275545,0.77,val_loss,158
169,0.686312,1.0,1.229107,0.79,val_loss,158
170,0.684736,1.0,1.203475,0.76,val_loss,158
171,0.678049,0.9975,1.167778,0.82,val_loss,158
172,0.693481,0.9925,1.316914,0.83,val_loss,158
173,0.698195,0.995,1.309655,0.76,val_loss,158
174,0.671875,1.0,1.215096,0.77,val_loss,158
175,0.669922,1.0,1.178911,0.76,val_loss,158
176,0.666963,1.0,1.287855,0.77,val_loss,158
177,0.684932,1.0,1.251323,0.82,val_loss,158
178,0.677341,1.0,1.189821,0.8,val_loss,158
179,0.677914,0.995,1.157334,0.79,val_loss,158
180,0.679499,1.0,1.2214,0.79,val_loss,158
181,0.684863,0.995,1.197384,0.79,val_loss,158
182,0.671971,1.0,1.148741,0.79,val_loss,158
183,0.666683,1.0,1.161712,0.81,val_loss,158
184,0.681064,0.995,1.267079,0.74,val_loss,158
185,0.676857,1.0,1.080929,0.84,val_loss,158
186,0.675242,1.0,1.209424,0.77,val_loss,158
187,0.664579,1.0,1.150999,0.78,val_loss,158
188,0.669959,0.9975,1.190947,0.78,val_loss,158
189,0.666119,0.9975,1.238886,0.78,val_loss,158
190,0.659928,1.0,1.068142,0.83,val_loss,158
191,0.660258,1.0,1.168123,0.78,val_loss,158
192,0.669178,1.0,1.26908,0.73,val_loss,158
193,0.662365,1.0,1.173674,0.8,val_loss,158
194,0.661084,1.0,1.135882,0.82,val_loss,158
195,0.659784,1.0,1.178055,0.8,val_loss,158
196,0.663474,1.0,1.138833,0.81,val_loss,158
197,0.656357,1.0,1.118031,0.82,val_loss,158
198,0.659646,1.0,1.185255,0.79,val_loss,158
199,0.657981,1.0,1.203582,0.78,val_loss,158
200,0.666579,1.0,1.204968,0.79,val_loss,158
201,0.672723,0.9975,1.123927,0.83,val_loss,158
202,0.672715,1.0,1.150054,0.83,val_loss,158
203,0.664312,1.0,1.107529,0.84,val_loss,158
204,0.679461,1.0,1.207809,0.79,val_loss,158
205,0.690733,0.9975,1.221385,0.77,val_loss,158
206,0.674788,1.0,1.20489,0.79,val_loss,158
207,0.692914,0.995,1.358309,0.77,val_loss,158
