epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
1,4.021857,0.135,10.157961,0.1,val_loss,108
2,2.445321,0.155,9.709873,0.12,val_loss,108
3,2.328371,0.1825,6.908783,0.16,val_loss,108
4,2.25615,0.2375,8.109764,0.14,val_loss,108
5,2.20133,0.245,5.577217,0.14,val_loss,108
6,2.199221,0.2925,4.995905,0.2,val_loss,108
7,2.088893,0.3525,5.64914,0.29,val_loss,108
8,2.060145,0.3325,5.952301,0.33,val_loss,108
9,2.038818,0.3675,4.400079,0.32,val_loss,108
10,2.047708,0.4,4.197567,0.37,val_loss,108
11,2.168512,0.38,6.460318,0.31,val_loss,108
12,2.233875,0.41,4.901253,0.35,val_loss,108
13,2.066846,0.45,15.395421,0.1,val_loss,108
14,2.096794,0.405,4.410613,0.33,val_loss,108
15,2.00669,0.465,4.539431,0.42,val_loss,108
16,2.128136,0.47,3.748049,0.35,val_loss,108
17,2.124284,0.425,3.862414,0.36,val_loss,108
18,1.959563,0.485,4.385512,0.41,val_loss,108
19,2.051375,0.4875,4.136086,0.43,val_loss,108
20,2.024635,0.5075,4.944267,0.37,val_loss,108
21,1.980825,0.4975,3.863508,0.51,val_loss,108
22,2.021513,0.53,5.214377,0.42,val_loss,108
23,2.003915,0.5225,3.666944,0.44,val_loss,108
24,1.927564,0.57,4.445247,0.42,val_loss,108
25,1.980649,0.5425,3.390519,0.5,val_loss,108
26,1.940621,0.5775,4.022553,0.46,val_loss,108
27,1.910257,0.5875,3.342341,0.48,val_loss,108
28,1.889536,0.57,3.745628,0.54,val_loss,108
29,1.922553,0.5575,3.898287,0.48,val_loss,108
30,1.864242,0.6075,3.303002,0.55,val_loss,108
31,1.813774,0.6525,3.812816,0.51,val_loss,108
32,1.83691,0.6225,3.597812,0.53,val_loss,108
33,1.803063,0.6475,3.442971,0.53,val_loss,108
34,1.846899,0.625,3.519316,0.53,val_loss,108
35,1.806339,0.6725,3.502978,0.59,val_loss,108
36,1.840207,0.6525,3.15062,0.61,val_loss,108
37,1.833223,0.67,3.065928,0.62,val_loss,108
38,1.755967,0.71,3.954801,0.49,val_loss,108
39,1.818435,0.6575,3.402108,0.59,val_loss,108
40,1.724788,0.685,3.474864,0.62,val_loss,108
41,1.757205,0.715,3.528695,0.52,val_loss,108
42,1.787166,0.6725,3.91404,0.49,val_loss,108
43,1.7339,0.665,3.125999,0.59,val_loss,108
44,1.744541,0.69,3.398356,0.56,val_loss,108
45,1.833224,0.675,3.423979,0.57,val_loss,108
46,1.690809,0.7125,3.431957,0.56,val_loss,108
47,1.704312,0.6975,3.001685,0.51,val_loss,108
48,1.712685,0.72,3.468754,0.55,val_loss,108
49,1.637918,0.6925,3.422674,0.52,val_loss,108
50,1.662374,0.735,2.876836,0.61,val_loss,108
51,1.588394,0.7425,3.166732,0.56,val_loss,108
52,1.616826,0.74,3.210575,0.58,val_loss,108
53,1.619098,0.735,2.811972,0.63,val_loss,108
54,1.700796,0.6875,2.899851,0.56,val_loss,108
55,1.627069,0.725,2.63017,0.63,val_loss,108
56,1.52622,0.7575,2.597156,0.56,val_loss,108
57,1.599068,0.745,2.568211,0.58,val_loss,108
58,1.643149,0.6825,2.759477,0.57,val_loss,108
59,1.554618,0.7375,2.612215,0.63,val_loss,108
60,1.512772,0.7575,2.717707,0.57,val_loss,108
61,1.554632,0.7075,2.535767,0.56,val_loss,108
62,1.466946,0.7375,2.522095,0.59,val_loss,108
63,1.505468,0.715,2.392285,0.62,val_loss,108
64,1.452712,0.7275,2.636221,0.6,val_loss,108
65,1.433446,0.74,2.418281,0.6,val_loss,108
66,1.379885,0.7625,2.256176,0.64,val_loss,108
67,1.401845,0.7575,2.406697,0.6,val_loss,108
68,1.399388,0.7025,2.283103,0.61,val_loss,108
69,1.45338,0.705,2.648231,0.51,val_loss,108
70,1.491499,0.685,2.322336,0.59,val_loss,108
71,1.356252,0.67,2.329849,0.55,val_loss,108
72,1.394426,0.735,2.005057,0.62,val_loss,108
73,1.338839,0.75,1.994784,0.59,val_loss,108
74,1.331647,0.745,2.229647,0.57,val_loss,108
75,1.346817,0.715,2.178251,0.59,val_loss,108
76,1.275046,0.7275,2.070036,0.59,val_loss,108
77,1.354858,0.73,2.055466,0.6,val_loss,108
78,1.29217,0.7375,1.959976,0.63,val_loss,108
79,1.290457,0.7325,2.11699,0.63,val_loss,108
80,1.369253,0.6775,2.099801,0.56,val_loss,108
81,1.424523,0.6975,2.087967,0.54,val_loss,108
82,1.309455,0.6975,1.836688,0.59,val_loss,108
83,1.280809,0.7225,1.952423,0.59,val_loss,108
84,1.250736,0.745,1.869816,0.61,val_loss,108
85,1.22078,0.755,1.910985,0.58,val_loss,108
86,1.243067,0.7475,1.729192,0.63,val_loss,108
87,1.232871,0.775,1.696328,0.65,val_loss,108
88,1.266062,0.7425,1.954715,0.56,val_loss,108
89,1.243097,0.74,1.874385,0.64,val_loss,108
90,1.238419,0.73,1.8452,0.57,val_loss,108
91,1.249472,0.71,1.779075,0.61,val_loss,108
92,1.23457,0.745,1.763106,0.64,val_loss,108
93,1.20485,0.7525,1.742635,0.63,val_loss,108
94,1.241089,0.74,1.754359,0.57,val_loss,108
95,1.254297,0.725,1.814064,0.61,val_loss,108
96,1.263096,0.7325,1.80243,0.61,val_loss,108
97,1.234758,0.7425,1.793269,0.61,val_loss,108
98,1.257895,0.725,1.747673,0.6,val_loss,108
99,1.249186,0.7025,1.796543,0.59,val_loss,108
100,1.191776,0.7125,1.685039,0.64,val_loss,108
101,1.224025,0.695,1.838527,0.6,val_loss,108
102,1.230901,0.7075,1.772615,0.58,val_loss,108
103,1.198555,0.7275,1.661045,0.61,val_loss,108
104,1.180232,0.75,1.721499,0.57,val_loss,108
105,1.18829,0.745,1.680343,0.59,val_loss,108
106,1.209081,0.725,1.755737,0.55,val_loss,108
107,1.167575,0.735,1.701946,0.59,val_loss,108
108,1.142731,0.7575,1.566037,0.64,val_loss,108
109,1.182651,0.725,1.792115,0.61,val_loss,108
110,1.19354,0.7175,1.69101,0.56,val_loss,108
111,1.217559,0.7225,1.692178,0.6,val_loss,108
112,1.230319,0.74,1.669857,0.63,val_loss,108
113,1.199641,0.735,1.798234,0.64,val_loss,108
114,1.1808,0.6975,1.86874,0.57,val_loss,108
115,1.1999,0.7275,1.700256,0.59,val_loss,108
116,1.177262,0.7525,1.748029,0.61,val_loss,108
117,1.181922,0.7325,1.735066,0.57,val_loss,108
118,1.228259,0.6925,1.863633,0.58,val_loss,108
119,1.262921,0.6875,1.816068,0.59,val_loss,108
120,1.237996,0.67,1.713668,0.6,val_loss,108
121,1.213519,0.6825,1.711099,0.58,val_loss,108
122,1.19807,0.69,1.770315,0.56,val_loss,108
123,1.195128,0.735,1.739382,0.55,val_loss,108
124,1.204933,0.7425,1.831179,0.57,val_loss,108
125,1.317939,0.6475,1.991744,0.52,val_loss,108
126,1.301394,0.6775,1.876615,0.53,val_loss,108
127,1.249655,0.6975,1.942796,0.51,val_loss,108
128,1.190434,0.7175,1.799278,0.57,val_loss,108
129,1.168746,0.7475,1.780824,0.61,val_loss,108
130,1.170602,0.77,1.78184,0.57,val_loss,108
131,1.219846,0.715,1.801968,0.58,val_loss,108
132,1.21065,0.7175,1.834918,0.58,val_loss,108
133,1.173866,0.7175,1.887005,0.56,val_loss,108
134,1.258945,0.71,1.900715,0.55,val_loss,108
135,1.178501,0.7325,1.903648,0.56,val_loss,108
136,1.133715,0.7575,1.720479,0.57,val_loss,108
137,1.163748,0.7625,1.783892,0.58,val_loss,108
138,1.155161,0.745,1.755189,0.56,val_loss,108
139,1.176505,0.7525,1.740645,0.64,val_loss,108
140,1.226755,0.73,2.01376,0.49,val_loss,108
141,1.21126,0.7325,1.751246,0.62,val_loss,108
142,1.155402,0.75,1.649574,0.62,val_loss,108
143,1.16888,0.755,1.774735,0.57,val_loss,108
144,1.16912,0.7275,1.717906,0.61,val_loss,108
145,1.174479,0.74,1.723987,0.59,val_loss,108
146,1.307339,0.6175,1.972852,0.53,val_loss,108
147,1.241851,0.7,1.761996,0.62,val_loss,108
148,1.21999,0.695,1.792622,0.57,val_loss,108
149,1.200302,0.72,1.834121,0.59,val_loss,108
150,1.172605,0.7225,1.815204,0.56,val_loss,108
151,1.203359,0.7525,1.710131,0.61,val_loss,108
152,1.296119,0.68,1.89141,0.54,val_loss,108
153,1.389069,0.64,2.009667,0.53,val_loss,108
154,1.411481,0.67,1.743424,0.58,val_loss,108
155,1.281041,0.6875,1.606129,0.61,val_loss,108
156,1.261313,0.7025,1.605856,0.62,val_loss,108
157,1.159357,0.765,1.772719,0.58,val_loss,108
158,1.20503,0.735,1.686678,0.6,val_loss,108
159,1.258897,0.7025,1.804085,0.52,val_loss,108
160,1.243232,0.6975,1.768111,0.62,val_loss,108
161,1.181807,0.75,1.759556,0.6,val_loss,108
162,1.219317,0.7275,1.727237,0.59,val_loss,108
163,1.176045,0.7175,1.651142,0.61,val_loss,108
164,1.127867,0.7775,1.671049,0.61,val_loss,108
165,1.150313,0.7675,1.682763,0.64,val_loss,108
166,1.153641,0.75,1.751778,0.59,val_loss,108
167,1.205539,0.73,1.652084,0.61,val_loss,108
168,1.168512,0.7675,1.61879,0.64,val_loss,108
