epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
1,2.430916,0.1475,2.451934,0.11,val_loss,187
2,2.298655,0.16,2.438229,0.14,val_loss,187
3,2.228292,0.2025,2.787175,0.19,val_loss,187
4,2.168289,0.235,2.354808,0.23,val_loss,187
5,2.053679,0.2875,2.597867,0.16,val_loss,187
6,2.004223,0.355,2.752112,0.2,val_loss,187
7,1.975956,0.31,2.172041,0.25,val_loss,187
8,1.957838,0.38,2.135842,0.33,val_loss,187
9,1.890518,0.3775,2.949926,0.18,val_loss,187
10,1.853225,0.425,2.126658,0.35,val_loss,187
11,1.81617,0.4525,2.201933,0.37,val_loss,187
12,1.77565,0.47,1.878108,0.48,val_loss,187
13,1.748198,0.49,2.368116,0.38,val_loss,187
14,1.744426,0.4675,1.95312,0.45,val_loss,187
15,1.680187,0.505,1.807746,0.51,val_loss,187
16,1.662253,0.515,2.024312,0.47,val_loss,187
17,1.707697,0.5,1.784654,0.48,val_loss,187
18,1.626491,0.5625,1.936617,0.46,val_loss,187
19,1.605642,0.55,1.804669,0.53,val_loss,187
20,1.573466,0.5775,1.747447,0.55,val_loss,187
21,1.545279,0.595,1.752638,0.54,val_loss,187
22,1.500546,0.5825,1.795529,0.48,val_loss,187
23,1.531121,0.58,2.182527,0.4,val_loss,187
24,1.47361,0.62,1.863213,0.56,val_loss,187
25,1.44419,0.6625,2.020598,0.5,val_loss,187
26,1.426102,0.655,1.668197,0.59,val_loss,187
27,1.421274,0.695,1.686118,0.56,val_loss,187
28,1.407219,0.665,1.609086,0.62,val_loss,187
29,1.35273,0.69,1.810368,0.59,val_loss,187
30,1.315079,0.7125,1.604047,0.57,val_loss,187
31,1.300022,0.705,1.758312,0.59,val_loss,187
32,1.252483,0.7325,1.920189,0.58,val_loss,187
33,1.254325,0.7425,1.638732,0.68,val_loss,187
34,1.240386,0.75,1.493191,0.69,val_loss,187
35,1.21282,0.7725,1.653098,0.56,val_loss,187
36,1.222591,0.765,1.895452,0.57,val_loss,187
37,1.184864,0.7725,1.61157,0.66,val_loss,187
38,1.143684,0.8025,1.675993,0.65,val_loss,187
39,1.150538,0.78,1.767404,0.66,val_loss,187
40,1.112491,0.815,1.746656,0.68,val_loss,187
41,1.11895,0.8025,1.615464,0.69,val_loss,187
42,1.099944,0.835,1.656668,0.7,val_loss,187
43,1.078881,0.82,1.530612,0.66,val_loss,187
44,1.035518,0.8675,1.607599,0.66,val_loss,187
45,1.060155,0.8575,1.676168,0.7,val_loss,187
46,1.022329,0.86,1.644823,0.74,val_loss,187
47,1.018944,0.8775,1.494878,0.74,val_loss,187
48,1.002311,0.8575,1.48591,0.72,val_loss,187
