epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
1,2.322613,0.145,2.313308,0.1,val_loss,120
2,2.079822,0.26,2.126581,0.21,val_loss,120
3,1.923185,0.345,5.976539,0.13,val_loss,120
4,1.887146,0.3825,1.940937,0.36,val_loss,120
5,1.762489,0.4625,2.712119,0.26,val_loss,120
6,1.711018,0.4425,1.977835,0.3,val_loss,120
7,1.684847,0.5025,1.737588,0.44,val_loss,120
8,1.635941,0.48,2.513473,0.33,val_loss,120
9,1.565564,0.5425,1.726216,0.52,val_loss,120
10,1.521531,0.5775,1.713411,0.49,val_loss,120
11,1.514536,0.5725,2.054598,0.35,val_loss,120
12,1.48921,0.5675,1.767107,0.5,val_loss,120
13,1.482532,0.5825,1.706132,0.49,val_loss,120
14,1.435993,0.6025,1.568095,0.53,val_loss,120
15,1.361409,0.6675,1.516557,0.57,val_loss,120
16,1.342666,0.685,1.870728,0.46,val_loss,120
17,1.368666,0.6575,1.665533,0.54,val_loss,120
18,1.301068,0.7175,1.432023,0.64,val_loss,120
19,1.279127,0.7125,1.459792,0.65,val_loss,120
20,1.222706,0.7775,1.744862,0.47,val_loss,120
21,1.200059,0.795,1.378145,0.67,val_loss,120
22,1.112838,0.82,1.452297,0.67,val_loss,120
23,1.094225,0.8575,1.355607,0.65,val_loss,120
24,1.048261,0.86,1.370021,0.65,val_loss,120
25,1.015395,0.875,1.389087,0.67,val_loss,120
26,0.996128,0.8825,1.203776,0.8,val_loss,120
27,0.950017,0.9025,1.302554,0.73,val_loss,120
28,0.982208,0.8925,1.327943,0.7,val_loss,120
29,0.968987,0.895,1.15764,0.76,val_loss,120
30,0.949093,0.9,1.255983,0.76,val_loss,120
31,0.933782,0.9025,1.10442,0.79,val_loss,120
32,0.896739,0.935,1.341358,0.72,val_loss,120
33,0.895342,0.9175,1.215965,0.75,val_loss,120
34,0.892067,0.9175,1.136752,0.81,val_loss,120
35,0.850815,0.94,1.176357,0.75,val_loss,120
36,0.844666,0.94,1.108851,0.83,val_loss,120
37,0.80506,0.97,1.0922,0.82,val_loss,120
38,0.788665,0.9675,1.154592,0.8,val_loss,120
39,0.8108,0.9675,1.149552,0.78,val_loss,120
40,0.79962,0.955,1.029925,0.85,val_loss,120
41,0.832075,0.9475,1.265581,0.74,val_loss,120
42,0.810224,0.965,1.061698,0.84,val_loss,120
43,0.775982,0.97,1.013587,0.83,val_loss,120
44,0.769946,0.9775,1.13609,0.8,val_loss,120
45,0.75055,0.99,1.028718,0.81,val_loss,120
46,0.730116,0.995,1.110268,0.8,val_loss,120
47,0.734328,0.9875,1.031143,0.85,val_loss,120
48,0.723772,0.995,0.941136,0.85,val_loss,120
49,0.728898,0.9825,1.032124,0.83,val_loss,120
50,0.725452,0.99,0.987417,0.83,val_loss,120
51,0.718175,0.995,0.97024,0.83,val_loss,120
52,0.73033,0.99,1.041104,0.84,val_loss,120
53,0.720745,0.9925,1.09514,0.84,val_loss,120
54,0.71617,0.9975,1.045796,0.83,val_loss,120
55,0.704037,0.9975,0.979381,0.86,val_loss,120
56,0.703742,0.995,0.978376,0.84,val_loss,120
57,0.710295,0.995,0.956381,0.88,val_loss,120
58,0.712518,0.9975,1.07056,0.82,val_loss,120
59,0.698073,0.9975,1.013588,0.83,val_loss,120
60,0.703741,0.995,0.947942,0.9,val_loss,120
61,0.695363,0.9975,0.936998,0.87,val_loss,120
62,0.692751,0.9975,1.076409,0.82,val_loss,120
63,0.693146,1.0,0.986356,0.85,val_loss,120
64,0.688752,0.9925,1.077708,0.83,val_loss,120
65,0.687426,1.0,0.949749,0.85,val_loss,120
66,0.68216,0.995,1.02741,0.83,val_loss,120
67,0.686709,0.9975,0.956896,0.87,val_loss,120
68,0.693812,0.995,0.944368,0.88,val_loss,120
69,0.703783,0.9925,0.999584,0.85,val_loss,120
70,0.691633,1.0,0.965105,0.86,val_loss,120
71,0.682997,0.9975,0.990559,0.85,val_loss,120
72,0.675472,1.0,0.98062,0.87,val_loss,120
73,0.68518,1.0,0.99714,0.86,val_loss,120
74,0.677765,0.9975,0.986081,0.87,val_loss,120
75,0.676274,1.0,0.937506,0.87,val_loss,120
76,0.677925,0.9975,0.911989,0.88,val_loss,120
77,0.693103,0.995,0.966653,0.87,val_loss,120
78,0.673979,0.9975,0.996626,0.87,val_loss,120
79,0.662216,1.0,0.962965,0.87,val_loss,120
80,0.679603,0.9925,0.945498,0.87,val_loss,120
81,0.679066,0.995,0.977673,0.86,val_loss,120
82,0.676321,0.995,1.002799,0.87,val_loss,120
83,0.670421,1.0,0.962513,0.89,val_loss,120
84,0.671501,1.0,0.91831,0.86,val_loss,120
85,0.665109,1.0,1.021344,0.85,val_loss,120
86,0.668063,1.0,0.951968,0.87,val_loss,120
87,0.676738,1.0,1.025491,0.85,val_loss,120
88,0.674205,0.995,1.071977,0.86,val_loss,120
89,0.677215,0.9925,0.939804,0.89,val_loss,120
90,0.669129,0.9975,1.037665,0.84,val_loss,120
91,0.668575,1.0,1.018413,0.88,val_loss,120
92,0.665462,1.0,1.050854,0.85,val_loss,120
93,0.660588,1.0,0.986676,0.86,val_loss,120
94,0.659647,1.0,0.971595,0.88,val_loss,120
95,0.664873,1.0,0.943731,0.88,val_loss,120
96,0.673152,0.9975,0.968654,0.87,val_loss,120
97,0.668611,1.0,0.967468,0.84,val_loss,120
98,0.660692,1.0,0.91239,0.88,val_loss,120
99,0.666556,0.9975,0.988314,0.86,val_loss,120
100,0.660698,1.0,0.977798,0.88,val_loss,120
101,0.65168,1.0,0.972862,0.87,val_loss,120
102,0.651504,1.0,0.928699,0.88,val_loss,120
103,0.655605,1.0,0.909333,0.87,val_loss,120
104,0.662133,1.0,0.945124,0.9,val_loss,120
105,0.657576,1.0,0.971339,0.87,val_loss,120
106,0.655472,1.0,0.94142,0.87,val_loss,120
107,0.650316,1.0,0.918948,0.88,val_loss,120
108,0.649992,1.0,0.96077,0.87,val_loss,120
109,0.648036,1.0,0.965494,0.88,val_loss,120
110,0.649129,1.0,0.943468,0.87,val_loss,120
111,0.657338,1.0,0.955044,0.88,val_loss,120
112,0.657153,1.0,0.92428,0.87,val_loss,120
113,0.669314,1.0,0.990168,0.85,val_loss,120
114,0.655155,0.9975,1.014809,0.87,val_loss,120
115,0.671179,0.9975,1.084929,0.83,val_loss,120
116,0.670606,1.0,0.997435,0.83,val_loss,120
117,0.674106,1.0,0.93805,0.86,val_loss,120
118,0.659838,0.9975,0.929714,0.87,val_loss,120
119,0.657533,1.0,0.960582,0.86,val_loss,120
120,0.654485,1.0,0.875387,0.91,val_loss,120
121,0.657291,0.9975,1.015524,0.86,val_loss,120
122,0.658307,1.0,0.936684,0.88,val_loss,120
123,0.649482,1.0,0.950425,0.88,val_loss,120
124,0.646418,1.0,0.925816,0.88,val_loss,120
125,0.652175,1.0,0.951376,0.86,val_loss,120
126,0.645116,1.0,0.935203,0.88,val_loss,120
127,0.645788,1.0,0.936513,0.86,val_loss,120
128,0.648954,1.0,0.912943,0.89,val_loss,120
129,0.643436,1.0,0.90659,0.89,val_loss,120
130,0.644851,1.0,0.966943,0.87,val_loss,120
131,0.655438,1.0,0.968199,0.87,val_loss,120
132,0.657225,1.0,0.943869,0.9,val_loss,120
133,0.655254,1.0,0.991872,0.86,val_loss,120
134,0.649232,1.0,0.982057,0.88,val_loss,120
135,0.647052,1.0,0.959077,0.88,val_loss,120
136,0.649532,0.9975,0.963967,0.86,val_loss,120
137,0.684744,0.99,0.913307,0.89,val_loss,120
138,0.664145,1.0,0.974793,0.85,val_loss,120
139,0.656663,1.0,0.96801,0.88,val_loss,120
140,0.653047,1.0,0.990892,0.87,val_loss,120
141,0.658464,0.995,1.054361,0.79,val_loss,120
142,0.700895,0.9875,1.067323,0.84,val_loss,120
143,0.680198,0.9975,1.020102,0.86,val_loss,120
144,0.670173,0.9975,0.901056,0.9,val_loss,120
145,0.679253,0.9975,0.982701,0.85,val_loss,120
146,0.659535,1.0,0.955535,0.89,val_loss,120
147,0.671891,0.9925,0.973851,0.86,val_loss,120
148,0.655822,1.0,0.918774,0.9,val_loss,120
149,0.651567,1.0,0.957648,0.87,val_loss,120
150,0.655042,1.0,0.965792,0.86,val_loss,120
151,0.645822,1.0,0.980456,0.87,val_loss,120
152,0.648249,1.0,0.94953,0.87,val_loss,120
153,0.647042,1.0,0.936595,0.89,val_loss,120
154,0.648862,1.0,0.952981,0.9,val_loss,120
155,0.647308,1.0,0.902698,0.91,val_loss,120
156,0.644562,1.0,0.944997,0.88,val_loss,120
157,0.64951,0.9975,0.991888,0.87,val_loss,120
158,0.646963,1.0,0.917534,0.86,val_loss,120
159,0.640373,1.0,0.897835,0.88,val_loss,120
160,0.640759,1.0,0.952139,0.89,val_loss,120
161,0.642084,1.0,0.954045,0.88,val_loss,120
162,0.653355,1.0,0.936833,0.89,val_loss,120
163,0.654644,1.0,0.942413,0.87,val_loss,120
164,0.665214,0.995,1.047104,0.79,val_loss,120
165,0.673265,0.995,1.00134,0.84,val_loss,120
166,0.6543,1.0,0.920262,0.89,val_loss,120
167,0.645494,1.0,0.981085,0.89,val_loss,120
168,0.641459,1.0,0.957319,0.89,val_loss,120
169,0.639337,1.0,0.908962,0.89,val_loss,120
170,0.64005,1.0,0.915227,0.91,val_loss,120
171,0.643198,1.0,0.955911,0.88,val_loss,120
172,0.639557,1.0,0.899764,0.91,val_loss,120
173,0.642745,1.0,0.921902,0.9,val_loss,120
174,0.642943,1.0,0.925158,0.86,val_loss,120
175,0.639512,1.0,0.921266,0.89,val_loss,120
176,0.638083,1.0,0.889047,0.89,val_loss,120
177,0.639929,1.0,0.936489,0.89,val_loss,120
178,0.641109,1.0,0.892372,0.9,val_loss,120
179,0.642132,1.0,0.943408,0.87,val_loss,120
180,0.640205,1.0,0.984966,0.84,val_loss,120
